sample_group	score_threshold_pa	fraction_at_or_above	n_callable
MHV-wt	12.775	0.0014085241796650842	19169
MHV-wt	12.8	0.0013563566174552664	19169
MHV-wt	12.825000000000001	0.0012520214930356304	19169
MHV-wt	12.850000000000001	0.0012520214930356304	19169
MHV-wt	12.875	0.0011998539308258126	19169
MHV-wt	12.9	0.0011476863686159945	19169
MHV-wt	12.925	0.0010955188064061766	19169
MHV-wt	12.950000000000001	0.0009911836819865407	19169
MHV-wt	12.975000000000001	0.0009390161197767228	19169
MHV-wt	13.0	0.0009390161197767228	19169
MHV-wt	13.025	0.0009390161197767228	19169
MHV-wt	13.05	0.0009390161197767228	19169
MHV-wt	13.075000000000001	0.0009390161197767228	19169
MHV-wt	13.100000000000001	0.0009390161197767228	19169
MHV-wt	13.125	0.0009390161197767228	19169
MHV-wt	13.15	0.0009390161197767228	19169
MHV-wt	13.175	0.000886848557566905	19169
MHV-wt	13.200000000000001	0.000886848557566905	19169
MHV-wt	13.225000000000001	0.000834680995357087	19169
MHV-wt	13.25	0.000834680995357087	19169
MHV-wt	13.275	0.000834680995357087	19169
MHV-wt	13.3	0.000834680995357087	19169
MHV-wt	13.325000000000001	0.000834680995357087	19169
MHV-wt	13.350000000000001	0.000834680995357087	19169
MHV-wt	13.375	0.000834680995357087	19169
MHV-wt	13.4	0.000834680995357087	19169
MHV-wt	13.425	0.000834680995357087	19169
MHV-wt	13.450000000000001	0.000834680995357087	19169
MHV-wt	13.475000000000001	0.000834680995357087	19169
MHV-wt	13.5	0.000834680995357087	19169
MHV-wt	13.525	0.000834680995357087	19169
MHV-wt	13.55	0.000834680995357087	19169
MHV-wt	13.575000000000001	0.000834680995357087	19169
MHV-wt	13.600000000000001	0.000834680995357087	19169
MHV-wt	13.625	0.000782513433147269	19169
MHV-wt	13.65	0.000730345870937451	19169
MHV-wt	13.675	0.000730345870937451	19169
MHV-wt	13.700000000000001	0.000730345870937451	19169
MHV-wt	13.725000000000001	0.0006781783087276332	19169
MHV-wt	13.75	0.0006781783087276332	19169
